"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Amikacin|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|VenousBlood|Plasma|Amikacin|Concentration in container [µmol/l]","Organism|Lumen|Amikacin|Fraction of oral drug mass absorbed into mucosa"
0,0,0,0,0
0,3,52.60468,162.5191,0
0,6,102.4269,110.0704,0
0,9,96.31776,84.8281,0
0,12,87.69999,77.712,0
0,15,81.52386,74.32821,0
0,18,77.32148,72.02709,0
0,21,74.32956,70.18378,0
0,24,72.04296,68.58456,0
0,27,70.1688,67.13252,0
0,30,68.54212,65.77746,0
0,33,67.07056,64.49063,0
0,36,65.70139,63.25535,0
0,39,64.40462,62.06162,0
0,42,63.16233,60.90293,0
0,45,61.96326,59.77495,0
0,48,60.80059,58.67485,0
0,51,59.67008,57.60068,0
0,54,58.56879,56.55096,0
0,57,57.49451,55.52455,0
0,60,56.44506,54.52033,0
0,63,55.41918,53.53754,0
0,66,54.41571,52.57545,0
0,69,53.43386,51.63346,0
0,72,52.47312,50.71112,0
0,75,51.53287,49.8079,0
0,78,50.61248,48.9233,0
0,81,49.71127,48.05683,0
0,84,48.82866,47.20803,0
0,87,47.96413,46.37646,0
0,90,47.11728,45.56174,0
0,93,46.28761,44.76343,0
0,96,45.47486,43.98122,0
0,99,44.67849,43.21467,0
0,102,43.89828,42.46349,0
0,105,43.13373,41.72728,0
0,108,42.38452,41.00573,0
0,111,41.65027,40.29849,0
0,114,40.93061,39.60523,0
0,117,40.22518,38.92562,0
0,120,39.53368,38.25938,0
0,135,36.27438,35.11827,0
0,150,33.31973,32.26939,0
0,165,30.63794,29.68225,0
0,180,28.2009,27.32995,0
0,195,25.98344,25.1886,0
0,210,23.9631,23.23693,0
0,225,22.12031,21.4561,0
0,240,20.43769,19.82938,0
0,255,18.89962,18.34184,0
0,270,17.49219,16.98018,0
0,285,16.203,15.73249,0
0,300,15.02097,14.58813,0
0,315,13.93617,13.53758,0
0,330,12.9397,12.57229,0
0,345,12.02355,11.68456,0
0,360,11.18055,10.86748,0
0,375,10.4042,10.11482,0
0,390,9.688682,9.420966,0
0,405,9.02871,8.78083,0
0,420,8.419524,8.189824,0
0,435,7.856809,7.64379,0
0,450,7.33666,7.13896,0
0,465,6.855532,6.671913,0
0,480,6.410197,6.239535,0
0,495,5.997725,5.838995,0
0,510,5.61545,5.467719,0
0,525,5.260963,5.123377,0
0,540,4.93204,4.80382,0
0,555,4.62668,4.507113,0
0,570,4.343027,4.23146,0
0,585,4.079387,3.975221,0
0,600,3.834209,3.736897,0
0,615,3.606074,3.515112,0
0,630,3.393682,3.308609,0
0,645,3.195846,3.116235,0
0,660,3.011476,2.936937,0
0,675,2.83957,2.769742,0
0,690,2.679211,2.613761,0
0,705,2.529552,2.468174,0
0,720,2.389801,2.332212,0
0,735,2.259242,2.20518,0
0,750,2.137207,2.086431,0
0,765,2.023081,1.975368,0
0,780,1.916305,1.871449,0
0,795,1.816357,1.774167,0
0,810,1.722761,1.683059,0
0,825,1.635074,1.597696,0
0,840,1.552886,1.51768,0
0,855,1.475816,1.44264,0
0,870,1.403514,1.372237,0
0,885,1.335651,1.30615,0
0,900,1.271928,1.24409,0
0,915,1.212062,1.185781,0
0,930,1.155796,1.130975,0
0,945,1.102889,1.079437,0
0,960,1.053121,1.030952,0
0,975,1.006283,0.9853181,0
0,990,0.962185,0.9423501,0
0,1005,0.9206482,0.9018744,0
0,1020,0.8815066,0.8637296,0
0,1035,0.8446061,0.8277659,0
0,1050,0.8098027,0.7938432,0
0,1065,0.7769635,0.7618324,0
0,1080,0.7459637,0.731612,0
0,1095,0.7166882,0.7030702,0
0,1110,0.6890292,0.676102,0
0,1125,0.6628866,0.6506101,0
0,1140,0.6381665,0.6265033,0
0,1155,0.6147822,0.603697,0
0,1170,0.5926517,0.5821116,0
0,1185,0.5716993,0.5616735,0
0,1200,0.5518537,0.5423132,0
0,1215,0.5330488,0.5239664,0
0,1230,0.5152225,0.5065727,0
0,1245,0.4983169,0.4900757,0
0,1260,0.4822778,0.4744227,0
0,1275,0.4670545,0.4595645,0
0,1290,0.4525998,0.4454549,0
0,1305,0.438869,0.4320506,0
0,1320,0.4258207,0.4193112,0
0,1335,0.4134158,0.4071986,0
0,1350,0.4016179,0.3956775,0
0,1365,0.3903925,0.3847142,0
0,1380,0.3797077,0.3742777,0
0,1395,0.3695332,0.3643383,0
0,1410,0.3598406,0.3548688,0
0,1425,0.3506035,0.3458431,0
0,1440,0.341797,0.3372371,0
